frequencia,dbm,n,sf,dbm2,d,d,d,d
433000000,14,1,7,0,14.59,7.657,87.925,3.30
470000000,14,1,7,0,14.75,7.257,92.671,3.30
868000000,14,1,7,0,14.61,7.240,92.082,3.30
915000000,14,1,7,0,14.33,7.237,92.129,3.30
923000000,14,1,7,0,14.25,7.242,92.077,3.30
433000000,14,1,7,2,14.50,5.211,77.927,3.30
470000000,14,1,7,2,14.68,5.247,82.081,3.30
868000000,14,1,7,2,14.46,5.242,81.633,3.30
915000000,14,1,7,2,14.17,5.244,81.671,3.30
923000000,14,1,7,2,14.17,5.245,81.591,3.30
433000000,22,1,7,0,21.69,8.671,139.487,3.30
470000000,22,1,7,0,21.45,8.781,143.158,3.30
868000000,22,1,7,0,21.96,8.625,137.925,3.30
915000000,22,1,7,0,22.38,8.728,141.015,3.30
923000000,22,1,7,0,22.41,8.714,140.617,3.30
433000000,22,1,7,2,21.52,5.608,123.116,3.30
470000000,22,1,7,2,21.36,5.637,126.441,3.30
868000000,22,1,7,2,21.79,5.599,121.769,3.30
915000000,22,1,7,2,22.28,5.624,124.527,3.30
923000000,22,1,7,2,22.26,5.620,124.168,3.30
433000000,14,1,12,0,14.59,69.712,88.076,3.30
470000000,14,1,12,0,14.75,73.280,92.818,3.30
868000000,14,1,12,0,14.62,72.876,92.201,3.30
915000000,14,1,12,0,14.33,72.988,92.314,3.30
923000000,14,1,12,0,14.25,73.002,92.272,3.30
433000000,14,1,12,2,14.58,18.899,88.328,3.30
470000000,14,1,12,2,14.76,19.673,93.072,3.30
868000000,14,1,12,2,14.64,19.585,92.511,3.30
915000000,14,1,12,2,14.34,19.603,92.565,3.30
923000000,14,1,12,2,14.27,19.600,92.484,3.30
433000000,22,1,12,0,21.71,109.446,139.471,3.30
470000000,22,1,12,0,21.46,112.140,143.181,3.30
868000000,22,1,12,0,21.97,108.369,137.860,3.30
915000000,22,1,12,0,22.39,110.555,140.948,3.30
923000000,22,1,12,0,22.41,110.297,140.625,3.30
433000000,22,1,12,2,21.69,27.622,139.902,3.30
470000000,22,1,12,2,21.46,28.252,143.636,3.30
868000000,22,1,12,2,21.98,27.385,138.360,3.30
915000000,22,1,12,2,22.42,27.890,141.478,3.30
923000000,22,1,12,2,22.43,27.824,141.021,3.30
